# Simulation 2 (Up to date)
# 735 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
843.057,9.969,0.464,34.253
844.652,9.473,0.466,34.253
846.166,8.978,0.468,34.253
847.598,8.484,0.471,34.253
848.949,7.991,0.474,34.253
850.219,7.498,0.476,34.253
851.409,7.006,0.479,34.253
852.518,6.516,0.481,34.253
853.547,6.027,0.483,34.253
854.496,5.54,0.486,34.253
855.365,5.054,0.49,34.253
856.154,4.568,0.493,34.253
856.863,4.084,0.496,34.253
857.494,3.6,0.501,34.253
858.045,3.118,0.504,34.253
858.517,2.637,0.507,34.253
858.91,2.158,0.511,34.253
859.225,1.68,0.514,34.253
859.461,1.205,0.514,34.253
859.62,0.733,0.515,34.253
859.702,0.264,0.516,34.253
# Event APOGEE occurred at t=7.37 seconds
859.707,-0.202,0.519,34.253
859.636,-0.669,0.521,34.253
859.487,-1.149,0.522,34.253
859.259,-1.629,0.52,34.253
858.953,-2.107,0.516,34.253
858.568,-2.582,0.513,34.253
858.106,-3.055,0.509,34.253
857.566,-3.524,0.506,34.253
856.949,-3.991,0.502,34.253
856.257,-4.452,0.498,34.253
855.489,-4.908,0.494,34.253
854.647,-5.357,0.49,34.253
853.732,-5.799,0.487,34.253
852.745,-6.233,0.484,34.253
851.76,-6.63,0.482,34.253
850.838,-6.976,0.48,34.253
849.959,-7.284,0.478,34.253
849.127,-7.559,0.477,34.253
848.312,-7.817,0.476,34.253
847.514,-8.056,0.474,34.253
846.745,-8.276,0.473,34.253
845.994,-8.482,0.472,34.253
845.254,-8.677,0.471,34.253
844.511,-8.866,0.47,34.253
843.762,-9.05,0.469,34.253
843.017,-9.227,0.468,34.253
842.274,-9.398,0.468,34.253
841.514,-9.567,0.467,34.253
840.734,-9.737,0.466,34.253
839.927,-9.909,0.465,34.253
839.085,-10.084,0.465,34.253
838.188,-10.267,0.464,34.253
837.216,-10.461,0.463,34.253
836.142,-10.674,0.463,34.253
834.883,-10.921,0.462,34.253
833.494,-11.191,0.461,34.253
832.122,-11.458,0.46,34.253
830.746,-11.725,0.459,34.253
829.348,-11.996,0.459,34.253
827.907,-12.277,0.459,34.253
826.397,-12.571,0.459,34.253
824.877,-12.866,0.459,34.253
823.727,-13.089,0.459,34.253
822.743,-13.278,0.459,34.253
821.865,-13.447,0.459,34.253
821.063,-13.6,0.459,34.253
820.318,-13.742,0.459,34.253
819.616,-13.875,0.459,34.253
818.95,-14.001,0.459,34.253
818.312,-14.12,0.459,34.253
817.697,-14.234,0.459,34.253
817.099,-14.345,0.459,34.253
816.515,-14.452,0.459,34.253
815.944,-14.557,0.459,34.253
815.385,-14.658,0.459,34.253
814.838,-14.757,0.459,34.253
814.301,-14.853,0.459,34.253
813.774,-14.947,0.459,34.253
813.254,-15.038,0.459,34.253
812.743,-15.128,0.459,34.253
812.24,-15.216,0.459,34.253
811.742,-15.302,0.459,34.253
811.248,-15.387,0.459,34.253
810.757,-15.47,0.459,34.253
810.266,-15.553,0.459,34.253
809.774,-15.636,0.459,34.253
809.279,-15.718,0.459,34.253
808.78,-15.8,0.459,34.253
808.275,-15.882,0.459,34.253
807.76,-15.965,0.459,34.253
807.232,-16.05,0.459,34.253
806.688,-16.135,0.459,34.253
806.125,-16.223,0.459,34.253
805.537,-16.313,0.459,34.253
804.922,-16.405,0.459,34.253
804.274,-16.501,0.459,34.253
803.583,-16.601,0.459,34.253
802.839,-16.706,0.459,34.253
802.028,-16.818,0.459,34.253
801.135,-16.937,0.459,34.253
800.121,-17.068,0.459,34.253
798.903,-17.216,0.459,34.253
797.209,-17.407,0.459,34.253
795.298,-17.6,0.459,34.253
793.387,-17.766,0.459,34.253
791.431,-17.91,0.459,34.253
789.629,-18.018,0.459,34.253
788.297,-18.083,0.459,34.253
787.155,-18.13,0.459,34.253
786.122,-18.166,0.459,34.253
785.161,-18.193,0.459,34.253
784.253,-18.214,0.459,34.253
783.385,-18.231,0.459,34.253
782.546,-18.243,0.459,34.253
781.725,-18.253,0.459,34.253
780.915,-18.26,0.459,34.253
780.111,-18.265,0.459,34.253
779.311,-18.268,0.459,34.253
778.517,-18.27,0.459,34.253
777.726,-18.27,0.459,34.253
776.937,-18.27,0.459,34.253
776.146,-18.268,0.459,34.253
775.355,-18.266,0.459,34.253
774.561,-18.263,0.459,34.253
773.76,-18.26,0.459,34.253
772.95,-18.257,0.459,34.253
772.122,-18.254,0.459,34.253
771.273,-18.252,0.459,34.253
770.396,-18.251,0.459,34.253
769.485,-18.252,0.459,34.253
768.532,-18.254,0.459,34.253
767.52,-18.258,0.459,34.253
766.413,-18.267,0.459,34.253
765.149,-18.281,0.459,34.253
763.612,-18.306,0.459,34.253
761.655,-18.348,0.459,34.253
758.71,-18.437,0.459,34.253
755.676,-18.562,0.459,34.253
753.483,-18.671,0.459,34.253
752.097,-18.746,0.459,34.253
750.944,-18.811,0.459,34.253
749.919,-18.871,0.459,34.253
748.976,-18.926,0.459,34.253
748.098,-18.979,0.459,34.253
747.266,-19.029,0.459,34.253
746.47,-19.078,0.459,34.253
745.7,-19.124,0.459,34.253
744.944,-19.169,0.459,34.253
744.196,-19.213,0.459,34.253
743.451,-19.256,0.459,34.253
742.704,-19.299,0.46,34.253
741.951,-19.34,0.46,34.253
741.186,-19.381,0.46,34.253
740.403,-19.422,0.46,34.253
739.595,-19.462,0.46,34.253
738.744,-19.501,0.46,34.253
737.838,-19.541,0.46,34.253
736.855,-19.579,0.46,34.253
