# Simulation 2 (Up to date)
# 694 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
805.801,8.752,0.47,34.253
807.197,8.259,0.472,34.253
808.511,7.766,0.475,34.253
809.745,7.274,0.478,34.253
810.898,6.783,0.481,34.253
811.97,6.293,0.483,34.253
812.962,5.805,0.486,34.253
813.875,5.317,0.489,34.253
814.707,4.831,0.491,34.253
815.46,4.347,0.494,34.253
816.133,3.863,0.498,34.253
816.727,3.38,0.502,34.253
817.242,2.899,0.505,34.253
817.678,2.42,0.509,34.253
818.036,1.94,0.513,34.253
818.315,1.463,0.515,34.253
818.516,0.988,0.517,34.253
818.639,0.515,0.517,34.253
818.685,0.047,0.518,34.253
# Event APOGEE occurred at t=7.27 seconds
818.655,-0.419,0.518,34.253
818.547,-0.897,0.517,34.253
818.361,-1.376,0.517,34.253
818.096,-1.854,0.515,34.253
817.752,-2.33,0.512,34.253
817.331,-2.804,0.508,34.253
816.833,-3.275,0.505,34.253
816.257,-3.742,0.501,34.253
815.605,-4.204,0.498,34.253
814.878,-4.663,0.495,34.253
814.076,-5.116,0.492,34.253
813.2,-5.564,0.489,34.253
812.251,-6.004,0.485,34.253
811.289,-6.412,0.483,34.253
810.37,-6.774,0.481,34.253
809.502,-7.094,0.479,34.253
808.677,-7.38,0.478,34.253
807.884,-7.64,0.476,34.253
807.113,-7.882,0.475,34.253
806.358,-8.108,0.474,34.253
805.612,-8.323,0.473,34.253
804.871,-8.529,0.472,34.253
804.136,-8.725,0.471,34.253
803.403,-8.914,0.47,34.253
802.663,-9.099,0.469,34.253
801.908,-9.283,0.469,34.253
801.125,-9.469,0.468,34.253
800.307,-9.658,0.467,34.253
799.456,-9.85,0.467,34.253
798.556,-10.048,0.466,34.253
797.586,-10.257,0.465,34.253
796.527,-10.48,0.464,34.253
795.356,-10.722,0.463,34.253
793.958,-11.006,0.462,34.253
792.537,-11.291,0.461,34.253
791.124,-11.573,0.46,34.253
789.699,-11.856,0.459,34.253
788.242,-12.144,0.459,34.253
786.728,-12.443,0.459,34.253
785.123,-12.758,0.459,34.253
783.827,-13.012,0.459,34.253
782.725,-13.226,0.459,34.253
781.742,-13.415,0.459,34.253
780.88,-13.581,0.459,34.253
780.098,-13.73,0.459,34.253
779.366,-13.869,0.459,34.253
778.667,-14.001,0.459,34.253
777.997,-14.126,0.459,34.253
777.352,-14.247,0.459,34.253
776.726,-14.362,0.459,34.253
776.118,-14.474,0.459,34.253
775.525,-14.583,0.459,34.253
774.947,-14.687,0.459,34.253
774.383,-14.789,0.459,34.253
773.831,-14.888,0.459,34.253
773.29,-14.984,0.459,34.253
772.76,-15.078,0.459,34.253
772.241,-15.169,0.459,34.253
771.731,-15.257,0.459,34.253
771.229,-15.344,0.459,34.253
770.733,-15.429,0.459,34.253
770.238,-15.514,0.459,34.253
769.742,-15.598,0.459,34.253
769.243,-15.681,0.459,34.253
768.739,-15.765,0.459,34.253
768.228,-15.849,0.459,34.253
767.71,-15.933,0.459,34.253
767.182,-16.018,0.459,34.253
766.643,-16.104,0.459,34.253
766.088,-16.191,0.459,34.253
765.515,-16.28,0.459,34.253
764.92,-16.371,0.459,34.253
764.297,-16.465,0.459,34.253
763.639,-16.562,0.459,34.253
762.937,-16.664,0.459,34.253
762.177,-16.772,0.459,34.253
761.338,-16.887,0.459,34.253
760.383,-17.014,0.459,34.253
759.248,-17.159,0.459,34.253
757.757,-17.337,0.459,34.253
755.777,-17.552,0.459,34.253
753.815,-17.74,0.459,34.253
751.814,-17.903,0.459,34.253
750.016,-18.026,0.459,34.253
748.754,-18.099,0.459,34.253
747.681,-18.153,0.459,34.253
746.696,-18.196,0.459,34.253
745.772,-18.232,0.459,34.253
744.891,-18.263,0.459,34.253
744.049,-18.288,0.459,34.253
743.235,-18.31,0.459,34.253
742.442,-18.328,0.459,34.253
741.66,-18.344,0.459,34.253
740.88,-18.359,0.459,34.253
740.101,-18.372,0.459,34.253
739.318,-18.384,0.459,34.253
738.536,-18.395,0.459,34.253
737.756,-18.404,0.459,34.253
736.973,-18.413,0.459,34.253
736.185,-18.421,0.459,34.253
735.388,-18.43,0.459,34.253
734.578,-18.438,0.459,34.253
733.75,-18.447,0.459,34.253
732.9,-18.456,0.459,34.253
732.017,-18.467,0.459,34.253
731.09,-18.48,0.459,34.253
730.102,-18.495,0.459,34.253
729.032,-18.514,0.459,34.253
727.839,-18.538,0.459,34.253
726.452,-18.571,0.459,34.253
724.72,-18.62,0.459,34.253
722.121,-18.71,0.459,34.253
719.041,-18.841,0.459,34.253
715.938,-18.998,0.459,34.253
714.145,-19.096,0.459,34.253
712.724,-19.178,0.459,34.253
711.48,-19.25,0.459,34.253
710.364,-19.317,0.459,34.253
709.339,-19.378,0.459,34.253
708.377,-19.436,0.459,34.253
707.447,-19.491,0.459,34.253
706.536,-19.545,0.46,34.253
705.633,-19.597,0.46,34.253
704.732,-19.648,0.46,34.253
703.825,-19.699,0.46,34.253
702.903,-19.749,0.46,34.253
701.955,-19.798,0.46,34.253
700.964,-19.847,0.46,34.253
699.909,-19.896,0.46,34.253
698.763,-19.945,0.46,34.253
697.508,-19.995,0.46,34.253
696.101,-20.044,0.46,34.253
694.431,-20.092,0.46,34.253
692.024,-20.14,0.46,34.253
688.717,-20.163,0.46,34.253
685.411,-20.138,0.46,34.253
683.151,-20.094,0.46,34.253
681.559,-20.052,0.46,34.253
680.15,-20.008,0.46,34.253
678.842,-19.963,0.46,34.253
677.625,-19.917,0.46,34.253
676.474,-19.871,0.46,34.253
675.367,-19.825,0.46,34.253
674.258,-19.778,0.46,34.253
673.135,-19.73,0.46,34.253
671.985,-19.682,0.46,34.253
670.798,-19.632,0.46,34.253
669.555,-19.582,0.46,34.253
668.214,-19.53,0.46,34.253
666.676,-19.476,0.46,34.253
664.786,-19.416,0.46,34.253
662.361,-19.35,0.46,34.253
659.192,-19.286,0.46,34.253
656.032,-19.245,0.46,34.253
652.877,-19.224,0.46,34.253
650.636,-19.219,0.46,34.253
648.932,-19.219,0.46,34.253
647.508,-19.22,0.46,34.253
646.214,-19.222,0.46,34.253
644.962,-19.222,0.46,34.253
643.722,-19.222,0.46,34.253
642.499,-19.22,0.46,34.253
641.276,-19.216,0.46,34.253
640.018,-19.208,0.46,34.253
638.656,-19.195,0.46,34.253
637.118,-19.173,0.46,34.253
635.14,-19.133,0.46,34.253
632.184,-19.044,0.46,34.253
629.07,-18.913,0.46,34.253
625.98,-18.748,0.46,34.253
624.091,-18.633,0.46,34.253
622.436,-18.525,0.46,34.253
620.921,-18.422,0.46,34.253
619.57,-18.328,0.46,34.253
618.304,-18.238,0.46,34.253
617.073,-18.15,0.46,34.253
615.851,-18.064,0.46,34.253
614.615,-17.979,0.46,34.253
613.343,-17.893,0.46,34.253
611.971,-17.804,0.46,34.253
610.348,-17.706,0.46,34.253
608.241,-17.59,0.46,34.253
605.367,-17.455,0.46,34.253
602.513,-17.347,0.46,34.253
599.674,-17.263,0.46,34.253
597.392,-17.207,0.46,34.253
595.616,-17.169,0.46,34.253
594.029,-17.136,0.46,34.253
592.518,-17.105,0.46,34.253
591.033,-17.074,0.46,34.253
589.521,-17.04,0.46,34.253
587.925,-17.001,0.46,34.253
586.119,-16.949,0.46,34.253
583.559,-16.861,0.46,34.253
580.803,-16.746,0.46,34.253
578.066,-16.611,0.46,34.253
575.354,-16.457,0.46,34.253
572.668,-16.288,0.46,34.253
570.679,-16.156,0.46,34.253
568.957,-16.04,0.46,34.253
567.302,-15.929,0.46,34.253
565.502,-15.81,0.46,34.253
563.471,-15.68,0.46,34.253
561.039,-15.535,0.46,34.253
558.502,-15.397,0.46,34.253
555.986,-15.277,0.46,34.253
553.489,-15.173,0.46,34.253
551.007,-15.084,0.46,34.253
548.54,-15.004,0.46,34.253
546.367,-14.937,0.46,34.253
544.248,-14.872,0.46,34.253
542.065,-14.801,0.46,34.253
539.687,-14.716,0.46,34.253
537.28,-14.619,0.46,34.253
534.891,-14.511,0.46,34.253
532.52,-14.391,0.46,34.253
530.17,-14.262,0.46,34.253
527.841,-14.129,0.46,34.253
525.535,-13.994,0.46,34.253
523.471,-13.875,0.46,34.253
521.339,-13.758,0.46,34.253
519.091,-13.644,0.46,34.253
516.862,-13.543,0.46,34.253
514.648,-13.455,0.46,34.253
512.447,-13.381,0.46,34.253
510.257,-13.32,0.46,34.253
508.076,-13.267,0.46,34.253
506.016,-13.221,0.46,34.253
504.087,-13.18,0.46,34.253
501.929,-13.131,0.46,34.253
499.779,-13.078,0.46,34.253
497.639,-13.016,0.46,34.253
495.509,-12.947,0.46,34.253
493.392,-12.869,0.46,34.253
491.288,-12.784,0.46,34.253
489.198,-12.695,0.46,34.253
487.123,-12.604,0.46,34.253
485.063,-12.513,0.46,34.253
483.017,-12.426,0.46,34.253
480.986,-12.343,0.46,34.253
478.967,-12.268,0.46,34.253
476.96,-12.202,0.46,34.253
474.963,-12.146,0.46,34.253
472.975,-12.1,0.459,34.253
470.993,-12.061,0.459,34.253
469.017,-12.031,0.459,34.253
467.046,-12.006,0.459,34.253
465.078,-11.986,0.459,34.253
463.113,-11.969,0.459,34.253
461.151,-11.952,0.459,34.253
459.192,-11.935,0.459,34.253
457.236,-11.916,0.459,34.253
455.283,-11.893,0.459,34.253
453.334,-11.866,0.459,34.253
451.39,-11.835,0.459,34.253
449.451,-11.801,0.459,34.253
447.519,-11.763,0.459,34.253
445.592,-11.723,0.459,34.253
443.672,-11.683,0.459,34.253
441.759,-11.645,0.459,34.253
439.852,-11.606,0.459,34.253
437.951,-11.572,0.459,34.253
436.055,-11.541,0.459,34.253
434.164,-11.515,0.459,34.253
432.277,-11.495,0.459,34.253
430.393,-11.479,0.459,34.253
428.511,-11.468,0.459,34.253
426.63,-11.46,0.459,34.253
424.75,-11.456,0.459,34.253
422.871,-11.456,0.459,34.253
420.992,-11.459,0.459,34.253
419.111,-11.464,0.459,34.253
417.231,-11.469,0.459,34.253
415.349,-11.476,0.459,34.253
413.466,-11.483,0.459,34.253
411.581,-11.489,0.459,34.253
409.696,-11.494,0.459,34.253
407.81,-11.5,0.459,34.253
405.923,-11.505,0.459,34.253
404.036,-11.509,0.459,34.253
402.148,-11.511,0.459,34.253
400.259,-11.512,0.459,34.253
398.371,-11.513,0.459,34.253
396.482,-11.513,0.459,34.253
394.594,-11.514,0.459,34.253
392.705,-11.515,0.459,34.253
390.816,-11.517,0.459,34.253
388.926,-11.519,0.459,34.253
387.036,-11.524,0.459,34.253
385.145,-11.53,0.459,34.253
383.253,-11.538,0.459,34.253
381.36,-11.547,0.459,34.253
379.465,-11.557,0.459,34.253
377.568,-11.568,0.459,34.253
375.669,-11.581,0.459,34.253
373.768,-11.596,0.459,34.253
371.865,-11.61,0.459,34.253
369.959,-11.624,0.459,34.253
368.051,-11.64,0.459,34.253
366.141,-11.655,0.459,34.253
364.227,-11.671,0.459,34.253
362.311,-11.688,0.459,34.253
360.393,-11.705,0.459,34.253
358.471,-11.722,0.459,34.253
356.547,-11.739,0.459,34.253
354.62,-11.755,0.459,34.253
352.69,-11.771,0.459,34.253
350.758,-11.786,0.459,34.253
348.824,-11.799,0.459,34.253
346.887,-11.811,0.459,34.253
344.949,-11.821,0.459,34.253
343.009,-11.83,0.459,34.253
341.068,-11.838,0.459,34.253
339.125,-11.844,0.459,34.253
337.182,-11.851,0.459,34.253
335.237,-11.857,0.459,34.253
333.292,-11.865,0.459,34.253
331.344,-11.875,0.459,34.253
329.396,-11.886,0.459,34.253
327.445,-11.9,0.459,34.253
325.491,-11.915,0.459,34.253
323.535,-11.932,0.459,34.253
321.577,-11.949,0.459,34.253
319.615,-11.966,0.459,34.253
317.651,-11.983,0.459,34.253
315.684,-11.997,0.459,34.253
313.715,-12.009,0.459,34.253
311.744,-12.017,0.459,34.253
309.772,-12.022,0.459,34.253
307.8,-12.023,0.459,34.253
305.828,-12.021,0.459,34.253
303.857,-12.015,0.459,34.253
301.886,-12.007,0.459,34.253
299.917,-11.999,0.459,34.253
297.95,-11.99,0.459,34.253
295.983,-11.982,0.459,34.253
294.018,-11.974,0.459,34.253
292.055,-11.969,0.459,34.253
290.092,-11.966,0.459,34.253
288.129,-11.965,0.459,34.253
286.166,-11.968,0.459,34.253
284.202,-11.972,0.459,34.253
282.238,-11.977,0.459,34.253
280.273,-11.98,0.459,34.253
278.307,-11.983,0.459,34.253
276.341,-11.984,0.459,34.253
274.376,-11.981,0.459,34.253
272.411,-11.973,0.459,34.253
270.448,-11.96,0.459,34.253
268.487,-11.943,0.459,34.253
266.53,-11.922,0.459,34.253
264.576,-11.899,0.459,34.253
262.626,-11.875,0.459,34.253
260.68,-11.852,0.459,34.253
258.737,-11.831,0.459,34.253
256.798,-11.814,0.459,34.253
254.861,-11.801,0.459,34.253
252.926,-11.794,0.459,34.253
250.992,-11.792,0.459,34.253
249.057,-11.794,0.459,34.253
247.122,-11.8,0.459,34.253
245.185,-11.808,0.459,34.253
243.248,-11.817,0.459,34.253
241.309,-11.824,0.459,34.253
239.369,-11.829,0.459,34.253
237.428,-11.83,0.459,34.253
235.487,-11.826,0.459,34.253
233.548,-11.818,0.459,34.253
231.61,-11.804,0.459,34.253
229.676,-11.787,0.459,34.253
227.744,-11.764,0.459,34.253
225.816,-11.739,0.459,34.253
223.893,-11.713,0.459,34.253
221.973,-11.689,0.459,34.253
220.057,-11.668,0.459,34.253
218.145,-11.652,0.459,34.253
216.234,-11.641,0.459,34.253
214.325,-11.636,0.459,34.253
212.416,-11.638,0.459,34.253
210.507,-11.647,0.459,34.253
208.595,-11.662,0.459,34.253
206.68,-11.681,0.459,34.253
204.762,-11.704,0.459,34.253
202.84,-11.729,0.459,34.253
200.914,-11.754,0.459,34.253
198.984,-11.777,0.459,34.253
197.051,-11.796,0.459,34.253
195.114,-11.809,0.459,34.253
193.177,-11.814,0.459,34.253
191.239,-11.813,0.459,34.253
189.301,-11.805,0.459,34.253
187.366,-11.789,0.459,34.253
185.434,-11.766,0.459,34.253
183.506,-11.739,0.459,34.253
181.583,-11.711,0.459,34.253
179.664,-11.684,0.459,34.253
177.749,-11.661,0.459,34.253
175.838,-11.643,0.459,34.253
173.929,-11.631,0.459,34.253
172.022,-11.626,0.459,34.253
170.114,-11.631,0.459,34.253
168.206,-11.642,0.459,34.253
166.294,-11.66,0.459,34.253
164.38,-11.682,0.459,34.253
162.462,-11.707,0.459,34.253
160.539,-11.731,0.459,34.253
158.613,-11.752,0.459,34.253
156.684,-11.768,0.459,34.253
154.752,-11.778,0.459,34.253
152.82,-11.78,0.459,34.253
150.888,-11.777,0.459,34.253
148.957,-11.766,0.459,34.253
147.028,-11.752,0.459,34.253
145.101,-11.734,0.459,34.253
143.178,-11.715,0.459,34.253
141.258,-11.697,0.459,34.253
139.34,-11.682,0.459,34.253
137.425,-11.671,0.459,34.253
135.511,-11.664,0.459,34.253
133.598,-11.661,0.459,34.253
131.685,-11.664,0.459,34.253
129.771,-11.671,0.459,34.253
127.856,-11.681,0.459,34.253
125.939,-11.693,0.459,34.253
124.019,-11.706,0.459,34.253
122.098,-11.718,0.459,34.253
120.175,-11.729,0.459,34.253
118.25,-11.737,0.459,34.253
116.324,-11.743,0.459,34.253
114.398,-11.745,0.459,34.253
112.471,-11.746,0.459,34.253
110.544,-11.744,0.459,34.253
108.618,-11.739,0.459,34.253
106.693,-11.736,0.459,34.253
104.768,-11.733,0.459,34.253
102.843,-11.733,0.459,34.253
100.918,-11.736,0.459,34.253
98.993,-11.743,0.459,34.253
97.066,-11.754,0.459,34.253
95.136,-11.769,0.459,34.253
93.204,-11.787,0.459,34.253
91.269,-11.808,0.459,34.253
89.33,-11.831,0.459,34.253
87.387,-11.853,0.459,34.253
85.441,-11.874,0.459,34.253
83.492,-11.891,0.459,34.253
81.54,-11.903,0.459,34.253
79.587,-11.912,0.459,34.253
77.633,-11.915,0.459,34.253
75.678,-11.912,0.459,34.253
73.725,-11.905,0.459,34.253
71.773,-11.894,0.459,34.253
69.823,-11.882,0.459,34.253
67.875,-11.868,0.459,34.253
65.929,-11.853,0.459,34.253
63.986,-11.838,0.459,34.253
62.045,-11.825,0.459,34.253
60.106,-11.813,0.459,34.253
58.169,-11.803,0.459,34.253
56.234,-11.796,0.459,34.253
54.299,-11.791,0.459,34.253
52.365,-11.788,0.459,34.253
50.431,-11.788,0.459,34.253
48.498,-11.789,0.459,34.253
46.564,-11.793,0.459,34.253
44.629,-11.798,0.459,34.253
42.693,-11.805,0.459,34.253
40.755,-11.813,0.459,34.253
38.817,-11.823,0.459,34.253
36.876,-11.833,0.459,34.253
34.935,-11.842,0.459,34.253
32.991,-11.85,0.459,34.253
31.047,-11.856,0.459,34.253
29.102,-11.86,0.459,34.253
27.156,-11.861,0.459,34.253
25.21,-11.858,0.459,34.253
23.266,-11.853,0.459,34.253
21.322,-11.845,0.459,34.253
19.38,-11.836,0.459,34.253
17.439,-11.825,0.459,34.253
15.5,-11.814,0.459,34.253
13.563,-11.805,0.459,34.253
11.627,-11.798,0.459,34.253
9.692,-11.794,0.459,34.253
7.757,-11.795,0.459,34.253
5.822,-11.799,0.459,34.253
3.886,-11.807,0.459,34.253
1.948,-11.818,0.459,34.253
0.008,-11.832,0.459,34.253
# Event GROUND_HIT occurred at t=26.822 seconds
# Event SIMULATION_END occurred at t=26.822 seconds
-1.934,-11.847,0.459,34.253
